,Item,Tag
20179,July 17 2021,dates
20180,March 6 2024,dates
20181,February 17 2022,dates
20182,13/03/2024,dates
20183,12/11/2021,dates
20184,09/10/2020,dates
20185,July 13 2020,dates
20186,Jul 15th 2020,dates
20187,10/27/2022,dates
20188,Aug 15th 2024,dates
20189,06/04/2023,dates
20190,July 15 2022,dates
20191,04/01/2024,dates
20192,20/03/2021,dates
20193,08/30/2024,dates
20194,04/28/2023,dates
20195,11/07/2022,dates
20196,12/16/2021,dates
20197,09/12/2020,dates
20198,May 28 2022,dates
20199,Jan 6th 2023,dates
20200,January 28 2021,dates
20201,18/11/2021,dates
20202,Sep 19th 2023,dates
20203,Oct 26th 2020,dates
20204,03/12/2024,dates
20205,June 22 2022,dates
20206,May 10th 2020,dates
20207,07/11/2023,dates
20208,26/02/2022,dates
20209,12/01/2021,dates
20210,26/09/2020,dates
20211,27/02/2024,dates
20212,Jun 11th 2021,dates
20213,June 5 2020,dates
20214,09/29/2024,dates
20215,Oct 25th 2020,dates
20216,May 22 2024,dates
20217,04/28/2022,dates
20218,05/20/2023,dates
20219,10/30/2020,dates
20220,June 24 2023,dates
20221,31/07/2022,dates
20222,March 9 2022,dates
20223,29/11/2020,dates
20224,February 5 2020,dates
20225,24/08/2024,dates
20226,08/15/2021,dates
20227,Dec 7th 2020,dates
20228,05/08/2021,dates
20229,07/20/2022,dates
20230,01/08/2022,dates
20231,25/05/2022,dates
20232,July 27 2020,dates
20233,July 21 2021,dates
20234,02/26/2024,dates
20235,25/09/2024,dates
20236,Jun 29th 2022,dates
20237,October 28 2020,dates
20238,08/07/2024,dates
20239,21/01/2020,dates
20240,Jan 20th 2021,dates
20241,08/16/2023,dates
20242,October 21 2022,dates
20243,02/03/2020,dates
20244,24/03/2021,dates
20245,June 30 2023,dates
20246,Feb 21st 2024,dates
20247,29/06/2021,dates
20248,August 17 2024,dates
20249,Jul 16th 2020,dates
20250,Jul 1st 2022,dates
20251,10/03/2020,dates
20252,January 31 2024,dates
20253,07/26/2024,dates
20254,30/11/2022,dates
20255,07/14/2023,dates
20256,November 27 2020,dates
20257,10/02/2023,dates
20258,October 1 2020,dates
20259,Aug 1st 2020,dates
20260,01/11/2020,dates
20261,03/11/2022,dates
20262,11/15/2021,dates
20263,02/02/2024,dates
20264,01/02/2021,dates
20265,November 25 2020,dates
20266,July 24 2022,dates
20267,September 18 2020,dates
20268,Nov 4th 2024,dates
20269,17/11/2023,dates
20270,04/02/2023,dates
20271,05/08/2021,dates
20272,01/31/2020,dates
20273,Mar 6th 2020,dates
20274,July 30 2022,dates
20275,November 7 2021,dates
20276,May 13th 2020,dates
20277,01/14/2022,dates
20278,22/02/2020,dates
20279,March 18 2024,dates
20280,November 4 2024,dates
20281,07/07/2020,dates
20282,11/10/2023,dates
20283,16/02/2022,dates
20284,13/05/2023,dates
20285,12/11/2020,dates
20286,11/15/2021,dates
20287,27/11/2021,dates
20288,06/08/2022,dates
20289,July 9 2021,dates
20290,11/20/2024,dates
20291,Jan 1st 2020,dates
20292,02/02/2024,dates
20293,August 13 2024,dates
20294,May 27 2022,dates
20295,06/08/2023,dates
20296,01/30/2021,dates
20297,November 2 2023,dates
20298,08/28/2023,dates
20299,Sep 1st 2024,dates
20300,05/04/2023,dates
20301,Jan 19th 2020,dates
20302,15/04/2023,dates
20303,February 17 2021,dates
20304,07/29/2020,dates
20305,Oct 20th 2020,dates
20306,10/06/2024,dates
20307,07/26/2022,dates
20308,02/12/2021,dates
20309,Jan 3rd 2021,dates
20310,Aug 23rd 2021,dates
20311,May 2 2020,dates
20312,Sep 26th 2021,dates
20313,08/04/2023,dates
20314,August 21 2022,dates
20315,Feb 2nd 2024,dates
20316,08/03/2022,dates
20317,09/08/2023,dates
20318,January 26 2020,dates
20319,28/02/2023,dates
20320,July 12 2024,dates
20321,05/08/2021,dates
20322,24/06/2022,dates
20323,07/12/2023,dates
20324,26/10/2023,dates
20325,09/04/2021,dates
20326,12/06/2024,dates
20327,10/04/2022,dates
20328,08/03/2023,dates
20329,February 27 2023,dates
20330,September 25 2024,dates
20331,03/01/2020,dates
20332,06/22/2024,dates
20333,May 5th 2023,dates
20334,Nov 21st 2022,dates
20335,11/04/2022,dates
20336,March 1 2020,dates
20337,May 7th 2021,dates
20338,11/05/2020,dates
20339,10/03/2022,dates
20340,19/06/2023,dates
20341,02/09/2024,dates
20342,15/04/2021,dates
20343,09/22/2022,dates
20344,04/04/2021,dates
20345,24/05/2022,dates
20346,August 5 2023,dates
20347,Feb 27th 2021,dates
20348,07/04/2021,dates
20349,April 12 2021,dates
20350,Jun 21st 2023,dates
20351,11/15/2022,dates
20352,04/30/2023,dates
20353,Feb 8th 2022,dates
20354,Aug 23rd 2022,dates
20355,April 29 2022,dates
20356,08/31/2021,dates
20357,Oct 14th 2020,dates
20358,Feb 7th 2021,dates
20359,01/23/2021,dates
20360,February 19 2023,dates
20361,20/04/2024,dates
20362,October 1 2024,dates
20363,April 13 2023,dates
20364,December 1 2022,dates
20365,05/10/2024,dates
20366,March 2 2020,dates
20367,01/05/2023,dates
20368,Jan 25th 2022,dates
20369,14/05/2020,dates
20370,May 4th 2023,dates
20371,08/12/2024,dates
20372,September 26 2021,dates
20373,28/07/2024,dates
20374,26/01/2022,dates
20375,Nov 3rd 2023,dates
20376,May 3rd 2022,dates
20377,August 9 2024,dates
20378,August 7 2021,dates
20379,May 1st 2021,dates
20380,Jun 4th 2020,dates
20381,Apr 27th 2020,dates
20382,February 17 2024,dates
20383,26/10/2024,dates
20384,08/01/2020,dates
20385,December 6 2024,dates
20386,14/04/2021,dates
20387,Jun 20th 2021,dates
20388,June 30 2024,dates
20389,03/23/2023,dates
20390,01/09/2024,dates
20391,Mar 20th 2024,dates
20392,01/11/2023,dates
20393,Jul 26th 2022,dates
20394,Sep 27th 2023,dates
20395,Nov 3rd 2024,dates
20396,07/19/2023,dates
20397,26/10/2024,dates
20398,12/19/2021,dates
20399,08/12/2020,dates
20400,04/28/2023,dates
20401,10/29/2021,dates
20402,08/03/2022,dates
20403,October 27 2020,dates
20404,19/02/2020,dates
20405,Jan 12th 2020,dates
20406,10/14/2024,dates
20407,Feb 6th 2024,dates
20408,20/05/2021,dates
20409,08/14/2020,dates
20410,May 8 2024,dates
20411,06/29/2024,dates
20412,May 24 2022,dates
20413,12/29/2021,dates
20414,Sep 5th 2024,dates
20415,01/26/2022,dates
20416,05/29/2020,dates
20417,August 7 2023,dates
20418,June 29 2022,dates
20419,09/17/2020,dates
20420,12/01/2021,dates
20421,12/27/2024,dates
20422,07/23/2021,dates
20423,September 27 2024,dates
20424,Oct 21st 2021,dates
20425,February 21 2022,dates
20426,October 5 2023,dates
20427,05/11/2020,dates
20428,05/06/2021,dates
20429,Dec 8th 2023,dates
20430,April 24 2021,dates
20431,March 9 2020,dates
20432,Apr 25th 2022,dates
20433,Jan 23rd 2020,dates
20434,29/10/2023,dates
20435,Aug 1st 2022,dates
20436,12/09/2022,dates
20437,November 30 2024,dates
20438,Dec 10th 2021,dates
20439,04/21/2021,dates
20440,11/23/2020,dates
20441,10/22/2024,dates
20442,12/19/2021,dates
20443,Mar 11th 2021,dates
20444,February 1 2023,dates
20445,24/07/2022,dates
20446,01/23/2022,dates
20447,24/04/2022,dates
20448,09/07/2022,dates
20449,14/11/2023,dates
20450,20/08/2023,dates
20451,11/22/2024,dates
20452,11/04/2023,dates
20453,May 3rd 2024,dates
20454,Oct 21st 2021,dates
20455,Nov 23rd 2020,dates
20456,08/31/2020,dates
20457,03/09/2022,dates
20458,May 23 2024,dates
20459,Aug 25th 2023,dates
20460,Dec 24th 2023,dates
20461,Jul 20th 2020,dates
20462,05/20/2022,dates
20463,18/08/2023,dates
20464,Feb 23rd 2020,dates
20465,28/11/2022,dates
20466,July 11 2024,dates
20467,02/08/2022,dates
20468,May 2 2023,dates
20469,Jun 20th 2020,dates
20470,05/27/2020,dates
20471,22/01/2022,dates
20472,Mar 27th 2023,dates
20473,Feb 5th 2021,dates
20474,06/30/2023,dates
20475,July 24 2020,dates
20476,30/01/2022,dates
20477,Oct 23rd 2021,dates
20478,02/14/2023,dates
20479,06/16/2024,dates
20480,March 9 2024,dates
20481,11/20/2022,dates
20482,Mar 3rd 2020,dates
20483,12/21/2023,dates
20484,April 5 2021,dates
20485,Jan 12th 2024,dates
20486,05/23/2023,dates
20487,Feb 25th 2024,dates
20488,03/12/2020,dates
20489,Oct 27th 2020,dates
20490,Dec 24th 2024,dates
20491,Dec 29th 2021,dates
20492,02/02/2021,dates
20493,12/18/2024,dates
20494,30/05/2024,dates
20495,May 2nd 2024,dates
20496,Oct 10th 2020,dates
20497,July 11 2023,dates
20498,July 15 2021,dates
20499,01/12/2023,dates
20500,Jul 8th 2023,dates
20501,11/11/2023,dates
20502,11/04/2023,dates
20503,11/01/2022,dates
20504,December 17 2024,dates
20505,Jan 21st 2021,dates
20506,16/02/2024,dates
20507,Dec 20th 2023,dates
20508,Mar 21st 2020,dates
20509,Aug 5th 2022,dates
20510,Dec 10th 2023,dates
20511,November 21 2022,dates
20512,April 4 2021,dates
20513,Apr 29th 2023,dates
20514,03/18/2024,dates
20515,Jun 26th 2023,dates
20516,May 15th 2020,dates
20517,31/05/2023,dates
20518,Apr 16th 2022,dates
20519,Jul 14th 2020,dates
20520,02/01/2020,dates
20521,05/05/2022,dates
20522,January 27 2021,dates
20523,Sep 19th 2020,dates
20524,05/12/2020,dates
20525,August 18 2024,dates
20526,05/07/2024,dates
20527,Sep 17th 2023,dates
20528,Dec 24th 2023,dates
20529,21/11/2020,dates
20530,November 11 2024,dates
20531,02/21/2020,dates
20532,January 3 2022,dates
20533,September 17 2024,dates
20534,Dec 18th 2023,dates
20535,Sep 21st 2021,dates
20536,19/12/2023,dates
20537,10/10/2024,dates
20538,08/31/2024,dates
20539,Nov 4th 2021,dates
20540,09/09/2022,dates
20541,04/18/2021,dates
20542,03/06/2024,dates
20543,11/09/2022,dates
20544,July 8 2020,dates
20545,January 19 2023,dates
20546,June 12 2021,dates
20547,02/04/2024,dates
20548,01/04/2022,dates
20549,December 11 2020,dates
20550,03/21/2020,dates
20551,October 19 2020,dates
20552,July 18 2022,dates
20553,Nov 13th 2023,dates
20554,07/03/2020,dates
20555,16/03/2024,dates
20556,Sep 10th 2024,dates
20557,15/12/2020,dates
20558,05/09/2024,dates
20559,08/01/2021,dates
20560,April 3 2021,dates
20561,May 8 2024,dates
20562,26/04/2023,dates
20563,Dec 13th 2024,dates
20564,Apr 13th 2022,dates
20565,08/05/2023,dates
20566,March 29 2023,dates
20567,December 5 2024,dates
20568,December 25 2024,dates
20569,12/20/2021,dates
20570,29/05/2022,dates
20571,Jan 22nd 2023,dates
20572,20/02/2023,dates
20573,Oct 14th 2021,dates
20574,11/03/2023,dates
20575,Mar 13th 2024,dates
20576,20/06/2022,dates
20577,May 1st 2020,dates
20578,Jul 23rd 2024,dates
20579,10/23/2024,dates
20580,Mar 5th 2021,dates
20581,30/01/2024,dates
20582,January 20 2024,dates
20583,Sep 20th 2020,dates
20584,02/08/2023,dates
20585,07/02/2024,dates
20586,03/18/2021,dates
20587,12/15/2022,dates
20588,03/07/2022,dates
20589,08/17/2024,dates
20590,May 23 2023,dates
20591,April 9 2023,dates
20592,Oct 24th 2021,dates
20593,Jun 4th 2020,dates
20594,October 7 2024,dates
20595,Aug 19th 2021,dates
20596,01/18/2020,dates
20597,08/29/2024,dates
20598,26/06/2021,dates
20599,11/10/2021,dates
20600,Oct 6th 2022,dates
20601,February 28 2021,dates
20602,19/08/2024,dates
20603,12/04/2024,dates
20604,November 11 2024,dates
20605,06/03/2023,dates
20606,02/10/2023,dates
20607,15/12/2024,dates
20608,19/01/2020,dates
20609,Mar 23rd 2020,dates
20610,August 28 2020,dates
20611,10/06/2021,dates
20612,07/09/2024,dates
20613,25/06/2021,dates
20614,Jun 27th 2020,dates
20615,12/03/2021,dates
20616,Jun 28th 2023,dates
20617,May 8th 2022,dates
20618,Jul 30th 2020,dates
20619,December 8 2020,dates
20620,08/09/2022,dates
20621,May 19 2023,dates
20622,03/01/2022,dates
20623,January 18 2024,dates
20624,Aug 2nd 2021,dates
20625,01/14/2022,dates
20626,02/10/2024,dates
20627,24/11/2022,dates
20628,Jul 19th 2020,dates
20629,April 17 2023,dates
20630,November 16 2023,dates
20631,09/03/2023,dates
20632,05/04/2023,dates
20633,Mar 29th 2020,dates
20634,June 28 2021,dates
20635,31/01/2021,dates
20636,11/02/2020,dates
20637,05/29/2021,dates
20638,October 8 2022,dates
20639,07/15/2023,dates
20640,26/06/2020,dates
20641,12/08/2023,dates
20642,06/07/2020,dates
20643,04/02/2022,dates
20644,Dec 18th 2024,dates
20645,May 1 2021,dates
20646,January 1 2020,dates
20647,Jul 24th 2023,dates
20648,Sep 18th 2020,dates
20649,11/17/2020,dates
20650,01/11/2021,dates
20651,Jan 24th 2023,dates
20652,10/31/2024,dates
20653,Jan 24th 2020,dates
20654,05/24/2024,dates
20655,03/06/2023,dates
20656,August 4 2021,dates
20657,Jul 28th 2024,dates
20658,25/10/2024,dates
20659,20/12/2022,dates
20660,February 17 2020,dates
20661,09/14/2024,dates
20662,August 16 2023,dates
20663,17/08/2021,dates
20664,07/04/2022,dates
20665,Apr 12th 2020,dates
20666,May 1 2022,dates
20667,01/02/2022,dates
20668,Sep 7th 2022,dates
20669,June 22 2020,dates
20670,February 21 2021,dates
20671,Apr 19th 2023,dates
20672,01/08/2022,dates
20673,March 3 2023,dates
20674,08/26/2024,dates
20675,11/12/2022,dates
20676,02/20/2023,dates
20677,Feb 23rd 2024,dates
20678,Feb 2nd 2021,dates
20679,Sep 27th 2024,dates
20680,06/26/2021,dates
20681,20/08/2023,dates
20682,25/03/2022,dates
20683,12/05/2021,dates
20684,03/29/2020,dates
20685,10/11/2024,dates
20686,January 19 2022,dates
20687,March 29 2022,dates
20688,08/04/2020,dates
20689,Jan 15th 2023,dates
20690,22/09/2020,dates
20691,09/11/2024,dates
20692,Oct 3rd 2023,dates
20693,June 20 2021,dates
20694,Jan 9th 2023,dates
20695,May 5th 2021,dates
20696,August 2 2020,dates
20697,Feb 6th 2020,dates
20698,March 5 2021,dates
20699,24/12/2023,dates
20700,Aug 8th 2020,dates
20701,January 16 2021,dates
20702,Sep 3rd 2020,dates
20703,11/22/2020,dates
20704,11/05/2021,dates
20705,09/20/2020,dates
20706,September 23 2023,dates
20707,27/01/2024,dates
20708,March 29 2021,dates
20709,04/18/2023,dates
20710,15/05/2023,dates
20711,Jan 17th 2024,dates
20712,04/09/2023,dates
20713,11/01/2024,dates
20714,02/03/2021,dates
20715,February 6 2023,dates
20716,Jul 29th 2023,dates
20717,Jul 1st 2020,dates
20718,Jan 22nd 2023,dates
20719,03/03/2023,dates
20720,Oct 3rd 2022,dates
20721,01/09/2020,dates
20722,26/02/2022,dates
20723,11/05/2020,dates
20724,April 10 2020,dates
20725,Sep 2nd 2024,dates
20726,12/12/2024,dates
20727,22/01/2023,dates
20728,November 3 2022,dates
20729,Jan 24th 2022,dates
20730,12/25/2022,dates
20731,March 28 2022,dates
20732,04/19/2022,dates
20733,Jun 5th 2022,dates
20734,30/04/2024,dates
20735,11/05/2020,dates
20736,February 1 2020,dates
20737,September 7 2022,dates
20738,07/05/2024,dates
20739,06/01/2024,dates
20740,20/09/2022,dates
20741,10/20/2023,dates
20742,Nov 22nd 2024,dates
20743,Oct 8th 2020,dates
20744,June 24 2023,dates
20745,15/07/2024,dates
20746,January 18 2021,dates
20747,December 29 2024,dates
20748,25/03/2024,dates
20749,07/29/2021,dates
20750,December 4 2021,dates
20751,Dec 21st 2022,dates
20752,March 30 2024,dates
20753,February 21 2024,dates
20754,April 13 2021,dates
20755,May 25 2024,dates
20756,01/10/2024,dates
20757,06/04/2020,dates
20758,December 7 2020,dates
20759,Mar 2nd 2022,dates
20760,March 17 2023,dates
20761,04/27/2020,dates
20762,03/17/2020,dates
20763,May 16 2021,dates
20764,Feb 28th 2021,dates
20765,03/03/2020,dates
20766,February 22 2021,dates
20767,09/22/2024,dates
20768,21/07/2020,dates
20769,December 18 2021,dates
20770,01/04/2024,dates
20771,06/03/2023,dates
20772,Jul 29th 2020,dates
20773,07/04/2020,dates
20774,February 1 2020,dates
20775,04/05/2023,dates
20776,08/20/2024,dates
20777,Dec 29th 2023,dates
20778,Feb 7th 2022,dates
20779,September 30 2022,dates
20780,January 31 2024,dates
20781,December 5 2022,dates
20782,June 14 2022,dates
20783,02/12/2021,dates
20784,July 9 2020,dates
20785,Apr 12th 2021,dates
20786,July 2 2024,dates
20787,09/07/2020,dates
20788,May 1 2023,dates
20789,Jun 18th 2023,dates
20790,November 9 2020,dates
20791,Jun 30th 2020,dates
20792,Jan 18th 2021,dates
20793,Nov 26th 2023,dates
20794,September 22 2024,dates
20795,Oct 5th 2020,dates
20796,July 3 2021,dates
20797,July 20 2022,dates
20798,November 12 2020,dates
20799,05/22/2023,dates
20800,Jul 5th 2021,dates
20801,02/22/2020,dates
20802,02/12/2020,dates
20803,22/08/2022,dates
20804,December 31 2023,dates
20805,08/05/2020,dates
20806,December 24 2024,dates
20807,May 23rd 2021,dates
20808,Sep 1st 2023,dates
20809,18/10/2021,dates
20810,04/20/2022,dates
20811,June 9 2023,dates
20812,26/03/2021,dates
20813,September 18 2022,dates
20814,03/15/2020,dates
20815,31/12/2021,dates
20816,October 11 2024,dates
20817,02/04/2021,dates
20818,20/10/2024,dates
20819,15/05/2023,dates
20820,08/24/2023,dates
20821,March 5 2021,dates
20822,April 25 2023,dates
20823,08/28/2020,dates
20824,17/08/2024,dates
20825,November 13 2024,dates
20826,19/11/2020,dates
20827,28/01/2023,dates
20828,12/10/2022,dates
20829,05/10/2022,dates
20830,Jun 2nd 2023,dates
20831,01/28/2021,dates
20832,22/11/2022,dates
20833,12/13/2023,dates
20834,09/29/2024,dates
20835,July 6 2024,dates
20836,Jan 17th 2024,dates
20837,January 9 2022,dates
20838,12/27/2020,dates
20839,01/04/2021,dates
20840,01/27/2020,dates
20841,01/01/2022,dates
20842,Apr 3rd 2023,dates
20843,16/10/2021,dates
20844,04/23/2021,dates
20845,12/04/2022,dates
20846,19/12/2023,dates
20847,26/09/2024,dates
20848,06/12/2022,dates
20849,Mar 10th 2023,dates
20850,08/10/2020,dates
20851,Aug 12th 2022,dates
20852,Mar 3rd 2023,dates
20853,01/01/2024,dates
20854,03/31/2021,dates
20855,Aug 5th 2022,dates
20856,01/02/2022,dates
20857,29/06/2021,dates
20858,22/10/2020,dates
20859,Sep 1st 2022,dates
20860,Jan 9th 2022,dates
20861,02/25/2020,dates
20862,19/08/2024,dates
20863,Sep 2nd 2023,dates
20864,09/03/2022,dates
20865,Jun 4th 2022,dates
20866,15/04/2020,dates
20867,13/05/2022,dates
20868,05/01/2021,dates
20869,26/01/2023,dates
20870,02/03/2022,dates
20871,July 12 2023,dates
20872,Jul 31st 2022,dates
20873,10/06/2020,dates
20874,02/02/2020,dates
20875,Jun 27th 2023,dates
20876,16/09/2023,dates
20877,23/01/2021,dates
20878,02/11/2021,dates
20879,Oct 22nd 2022,dates
20880,December 9 2020,dates
20881,August 9 2023,dates
20882,Feb 27th 2021,dates
20883,June 29 2021,dates
20884,Dec 28th 2021,dates
20885,12/03/2023,dates
20886,July 11 2024,dates
20887,20/02/2023,dates
20888,Feb 20th 2024,dates
20889,09/01/2023,dates
20890,08/31/2021,dates
20891,Sep 8th 2024,dates
20892,06/03/2021,dates
20893,Dec 17th 2023,dates
20894,23/03/2021,dates
20895,January 22 2020,dates
20896,04/04/2021,dates
20897,01/08/2023,dates
20898,Aug 21st 2021,dates
20899,07/10/2020,dates
20900,Mar 31st 2024,dates
20901,Jun 16th 2021,dates
20902,September 16 2024,dates
20903,April 15 2020,dates
20904,01/06/2020,dates
20905,07/07/2020,dates
20906,30/10/2020,dates
20907,Jan 25th 2024,dates
20908,30/04/2024,dates
20909,10/27/2023,dates
20910,04/22/2024,dates
20911,10/04/2020,dates
20912,14/01/2023,dates
20913,01/05/2023,dates
20914,03/07/2023,dates
20915,03/15/2023,dates
20916,Apr 17th 2024,dates
20917,Jul 11th 2022,dates
20918,21/12/2020,dates
20919,August 27 2023,dates
20920,April 6 2024,dates
20921,01/08/2021,dates
20922,September 15 2024,dates
20923,Jun 29th 2023,dates
20924,24/07/2024,dates
20925,Mar 16th 2020,dates
20926,07/05/2023,dates
20927,November 23 2022,dates
20928,July 30 2023,dates
20929,May 28th 2022,dates
20930,12/26/2021,dates
20931,September 29 2024,dates
20932,September 30 2021,dates
20933,04/02/2024,dates
20934,Dec 29th 2024,dates
20935,October 19 2022,dates
20936,13/09/2022,dates
20937,Jun 17th 2023,dates
20938,05/07/2023,dates
20939,May 10th 2023,dates
20940,08/12/2021,dates
20941,October 12 2020,dates
20942,March 13 2023,dates
20943,Oct 6th 2024,dates
20944,13/08/2022,dates
20945,02/25/2023,dates
20946,August 15 2022,dates
20947,Mar 8th 2021,dates
20948,October 12 2020,dates
20949,Dec 5th 2024,dates
20950,07/20/2020,dates
20951,07/22/2023,dates
20952,Nov 17th 2023,dates
20953,12/05/2024,dates
20954,15/04/2022,dates
20955,09/17/2020,dates
20956,06/09/2020,dates
20957,03/11/2022,dates
20958,31/12/2020,dates
20959,Aug 10th 2020,dates
20960,03/20/2020,dates
20961,November 21 2021,dates
20962,09/10/2021,dates
20963,Jun 4th 2020,dates
20964,July 23 2024,dates
20965,May 3 2023,dates
20966,15/04/2024,dates
20967,09/05/2021,dates
20968,August 22 2020,dates
20969,20/09/2023,dates
20970,Jul 24th 2022,dates
20971,Apr 6th 2024,dates
20972,14/07/2024,dates
20973,10/23/2024,dates
20974,26/01/2020,dates
20975,08/02/2022,dates
20976,May 7 2023,dates
20977,08/30/2020,dates
20978,08/22/2020,dates
20979,December 24 2024,dates
20980,12/01/2021,dates
20981,January 13 2024,dates
20982,10/23/2024,dates
20983,February 5 2021,dates
20984,March 6 2021,dates
20985,10/04/2024,dates
20986,10/31/2024,dates
20987,March 5 2020,dates
20988,Jul 13th 2024,dates
20989,11/03/2022,dates
20990,01/15/2023,dates
20991,10/16/2021,dates
20992,Jun 15th 2020,dates
20993,10/09/2022,dates
20994,05/09/2021,dates
20995,06/01/2020,dates
20996,09/23/2020,dates
20997,Oct 31st 2023,dates
20998,November 23 2022,dates
20999,September 19 2022,dates
21000,04/11/2022,dates
21001,Aug 9th 2020,dates
21002,Mar 29th 2020,dates
21003,26/03/2024,dates
21004,Mar 3rd 2023,dates
21005,06/07/2020,dates
21006,10/16/2022,dates
21007,December 11 2023,dates
21008,18/03/2023,dates
21009,Oct 11th 2020,dates
21010,October 5 2021,dates
21011,08/08/2020,dates
21012,Mar 28th 2024,dates
21013,30/09/2024,dates
21014,09/30/2020,dates
21015,July 30 2022,dates
21016,Jun 30th 2021,dates
21017,April 27 2023,dates
21018,September 5 2022,dates
21019,July 11 2024,dates
21020,09/29/2022,dates
21021,February 18 2020,dates
21022,06/09/2022,dates
21023,08/06/2020,dates
21024,June 2 2020,dates
21025,06/25/2020,dates
21026,Sep 6th 2021,dates
21027,09/10/2022,dates
21028,08/07/2022,dates
21029,August 11 2023,dates
21030,26/08/2023,dates
21031,10/05/2021,dates
21032,Jun 15th 2021,dates
21033,May 15th 2024,dates
21034,Jul 3rd 2024,dates
21035,06/17/2024,dates
21036,January 11 2023,dates
21037,10/26/2022,dates
21038,September 14 2023,dates
21039,Nov 20th 2023,dates
21040,01/29/2021,dates
21041,May 9 2023,dates
21042,Jul 23rd 2024,dates
21043,11/21/2020,dates
21044,January 25 2020,dates
21045,Jan 9th 2021,dates
21046,September 4 2020,dates
21047,Apr 21st 2024,dates
21048,May 20th 2020,dates
21049,Oct 26th 2024,dates
21050,11/28/2022,dates
21051,10/10/2021,dates
21052,13/11/2021,dates
21053,Apr 13th 2021,dates
21054,09/07/2024,dates
21055,Jun 25th 2024,dates
21056,04/18/2021,dates
21057,Nov 25th 2020,dates
21058,October 23 2021,dates
21059,21/05/2024,dates
21060,17/11/2024,dates
21061,February 22 2023,dates
21062,05/16/2020,dates
21063,06/05/2022,dates
21064,March 30 2023,dates
21065,September 12 2020,dates
21066,May 29 2024,dates
21067,Apr 27th 2020,dates
21068,Jun 24th 2024,dates
21069,04/09/2020,dates
21070,Sep 3rd 2020,dates
21071,September 17 2021,dates
21072,Feb 27th 2021,dates
21073,March 29 2023,dates
21074,January 18 2020,dates
21075,November 14 2024,dates
21076,Feb 11th 2023,dates
21077,Aug 31st 2022,dates
21078,22/08/2024,dates
21079,July 21 2022,dates
21080,17/02/2024,dates
21081,05/11/2024,dates
21082,03/05/2024,dates
21083,07/27/2024,dates
21084,13/09/2024,dates
21085,15/02/2023,dates
21086,09/28/2023,dates
21087,16/02/2024,dates
21088,June 1 2023,dates
21089,10/22/2022,dates
21090,06/04/2022,dates
21091,20/03/2022,dates
21092,24/05/2020,dates
21093,Oct 22nd 2022,dates
21094,01/02/2020,dates
21095,March 6 2024,dates
21096,November 9 2024,dates
21097,January 7 2022,dates
21098,10/08/2021,dates
21099,Sep 14th 2024,dates
21100,24/10/2023,dates
21101,07/10/2024,dates
21102,08/07/2022,dates
21103,November 21 2022,dates
21104,08/29/2021,dates
21105,Sep 6th 2020,dates
21106,Apr 17th 2023,dates
21107,26/06/2024,dates
21108,01/31/2024,dates
21109,07/02/2024,dates
21110,11/20/2022,dates
21111,Dec 25th 2022,dates
21112,08/28/2020,dates
21113,Jun 30th 2021,dates
21114,01/22/2021,dates
21115,May 26 2022,dates
21116,27/03/2024,dates
21117,March 6 2021,dates
21118,27/05/2021,dates
21119,05/19/2020,dates
21120,Jun 25th 2021,dates
21121,15/11/2024,dates
21122,12/01/2024,dates
21123,Dec 28th 2024,dates
21124,August 13 2021,dates
21125,16/04/2021,dates
21126,Jan 23rd 2023,dates
21127,11/16/2021,dates
21128,25/08/2023,dates
21129,April 25 2023,dates
21130,04/02/2022,dates
21131,Mar 2nd 2024,dates
21132,Jun 8th 2023,dates
21133,12/19/2020,dates
21134,16/03/2023,dates
21135,14/03/2020,dates
21136,03/05/2021,dates
21137,October 17 2023,dates
21138,14/11/2022,dates
21139,12/05/2023,dates
21140,12/05/2020,dates
21141,05/08/2022,dates
21142,11/04/2020,dates
21143,Oct 14th 2023,dates
21144,23/09/2022,dates
21145,September 25 2022,dates
21146,02/10/2020,dates
21147,12/06/2021,dates
21148,Sep 10th 2023,dates
21149,Nov 11th 2022,dates
21150,29/10/2020,dates
21151,11/28/2023,dates
21152,01/12/2020,dates
21153,Jun 9th 2023,dates
21154,09/09/2020,dates
21155,08/12/2024,dates
21156,07/07/2021,dates
21157,Mar 27th 2020,dates
21158,07/04/2024,dates
21159,16/04/2023,dates
21160,September 27 2021,dates
21161,Aug 28th 2023,dates
21162,09/21/2020,dates
21163,01/27/2023,dates
21164,Nov 15th 2023,dates
21165,26/08/2020,dates
21166,Apr 7th 2020,dates
21167,03/05/2021,dates
21168,14/01/2024,dates
21169,January 19 2020,dates
21170,September 18 2024,dates
21171,01/05/2022,dates
21172,07/05/2020,dates
21173,Mar 1st 2024,dates
21174,08/25/2022,dates
21175,20/09/2022,dates
21176,February 28 2024,dates
21177,January 13 2020,dates
21178,06/02/2024,dates
21179,Jan 26th 2023,dates
21180,04/03/2022,dates
21181,December 15 2022,dates
21182,15/12/2022,dates
21183,Oct 11th 2023,dates
21184,November 24 2024,dates
21185,Oct 21st 2022,dates
21186,03/11/2022,dates
21187,13/01/2021,dates
21188,29/04/2024,dates
21189,October 24 2024,dates
21190,Jul 15th 2024,dates
21191,July 14 2020,dates
21192,June 2 2022,dates
21193,March 16 2022,dates
21194,05/12/2021,dates
21195,Jan 21st 2024,dates
