,dates
3506,May 1st 2023
3507,11/18/2022
3508,02/03/2020
3509,09/30/2020
3510,July 29 2022
3511,December 4 2020
3512,16/10/2024
3513,Feb 16th 2023
3514,09/26/2020
3515,08/21/2021
3516,May 17 2022
3517,March 30 2023
3518,Dec 14th 2022
3519,30/12/2020
3520,Nov 13th 2021
3521,Jul 29th 2020
3522,July 4 2023
3523,September 29 2020
3524,Apr 25th 2024
3525,07/02/2024
3526,01/08/2020
3527,11/13/2020
3528,January 16 2021
3529,05/18/2022
3530,March 29 2022
3531,Apr 3rd 2020
3532,03/12/2023
3533,07/05/2021
3534,June 4 2021
3535,February 26 2021
3536,06/10/2024
3537,December 23 2021
3538,Oct 18th 2022
3539,15/01/2024
3540,10/05/2020
3541,12/31/2022
3542,05/08/2021
3543,11/04/2024
3544,30/11/2021
3545,October 28 2020
3546,Dec 7th 2024
3547,06/03/2022
3548,01/05/2020
3549,12/12/2020
3550,11/25/2020
3551,Dec 1st 2024
3552,12/13/2022
3553,17/10/2022
3554,May 12 2020
3555,Oct 31st 2023
3556,Sep 17th 2020
3557,June 22 2024
3558,20/09/2024
3559,November 1 2023
3560,05/19/2024
3561,06/25/2023
3562,12/24/2023
3563,February 8 2021
3564,04/11/2022
3565,11/16/2022
3566,08/29/2024
3567,Jun 22nd 2020
3568,Apr 19th 2022
3569,Feb 22nd 2020
3570,03/15/2020
3571,02/14/2021
3572,July 24 2020
3573,04/12/2023
3574,Aug 20th 2022
3575,08/13/2022
3576,09/21/2020
3577,26/03/2020
3578,02/27/2024
3579,03/11/2021
3580,Dec 25th 2022
3581,05/11/2020
3582,July 27 2021
3583,23/06/2020
3584,06/06/2024
3585,04/03/2023
3586,Feb 6th 2024
3587,September 7 2024
3588,07/03/2020
3589,10/17/2020
3590,06/10/2022
3591,Dec 6th 2023
3592,20/09/2022
3593,July 13 2022
3594,07/18/2020
3595,07/28/2020
3596,01/21/2020
3597,27/12/2022
3598,Jun 10th 2021
3599,July 25 2022
3600,March 19 2023
3601,01/07/2024
3602,02/05/2022
3603,Dec 31st 2020
3604,03/08/2020
3605,July 18 2021
3606,October 8 2022
3607,05/16/2020
3608,November 22 2021
3609,10/29/2022
3610,Jan 26th 2022
3611,06/27/2022
3612,Oct 23rd 2024
3613,02/01/2023
3614,Apr 24th 2022
3615,January 11 2022
3616,Sep 20th 2020
3617,Mar 8th 2022
3618,Feb 19th 2024
3619,January 31 2021
3620,May 31 2020
3621,08/12/2022
3622,11/09/2021
3623,Aug 10th 2023
3624,Dec 7th 2020
3625,September 28 2020
3626,Nov 12th 2022
3627,08/09/2022
3628,10/24/2022
3629,May 24 2023
3630,Oct 25th 2020
3631,02/19/2020
3632,08/21/2022
3633,04/09/2024
3634,February 4 2024
3635,May 23 2024
3636,April 30 2021
3637,02/13/2020
3638,September 3 2020
3639,06/03/2023
3640,09/16/2024
3641,08/29/2022
3642,11/04/2023
3643,Aug 25th 2022
3644,Dec 27th 2023
3645,Feb 25th 2023
3646,April 29 2022
3647,Apr 4th 2023
3648,12/16/2024
3649,23/02/2022
3650,02/27/2020
3651,December 1 2023
3652,01/02/2022
3653,December 2 2023
3654,April 12 2023
3655,Apr 14th 2023
3656,January 6 2021
3657,Sep 29th 2022
3658,09/10/2022
3659,04/30/2020
3660,February 8 2021
3661,Feb 2nd 2021
3662,Jan 7th 2021
3663,Oct 9th 2022
3664,March 7 2020
3665,21/02/2024
3666,October 19 2024
3667,March 18 2021
3668,Dec 28th 2022
3669,November 3 2022
3670,Jun 28th 2021
3671,December 31 2024
3672,Apr 22nd 2023
3673,November 14 2023
3674,07/07/2020
3675,September 1 2021
3676,29/12/2021
3677,02/07/2020
3678,29/07/2020
3679,May 15 2022
3680,Dec 26th 2021
3681,01/05/2021
3682,12/03/2021
3683,03/03/2021
3684,23/03/2021
3685,January 22 2021
3686,May 1 2020
3687,May 28 2024
3688,04/16/2021
3689,Nov 10th 2023
3690,Jan 1st 2021
3691,Sep 7th 2024
3692,May 19th 2023
3693,Oct 15th 2024
3694,Aug 20th 2022
3695,24/01/2023
3696,22/06/2021
3697,Sep 2nd 2020
3698,19/07/2020
3699,18/04/2020
3700,Mar 25th 2023
3701,March 27 2022
3702,Jan 17th 2023
3703,Oct 23rd 2020
3704,11/02/2022
3705,November 19 2022
3706,March 18 2021
3707,10/19/2022
3708,30/03/2023
3709,12/06/2021
3710,15/08/2024
3711,07/02/2023
3712,08/04/2024
3713,08/01/2024
3714,10/05/2024
3715,Apr 30th 2024
3716,10/26/2024
3717,29/08/2020
3718,19/01/2022
3719,10/10/2022
3720,Sep 26th 2021
3721,Feb 16th 2024
3722,August 15 2020
3723,July 5 2024
3724,February 5 2023
3725,24/10/2024
3726,Feb 7th 2023
3727,01/30/2022
3728,May 15th 2020
3729,Oct 8th 2023
3730,06/05/2021
3731,May 3rd 2022
3732,Jan 1st 2021
3733,22/09/2024
3734,07/01/2024
3735,Oct 2nd 2021
3736,11/11/2023
3737,Nov 21st 2024
3738,19/09/2023
3739,08/30/2024
3740,November 16 2020
3741,07/09/2023
3742,10/11/2020
3743,Jan 17th 2022
3744,August 8 2022
3745,18/05/2021
3746,11/08/2021
3747,23/08/2020
3748,August 20 2023
3749,May 8 2024
3750,May 19th 2023
3751,14/03/2023
3752,July 1 2023
3753,05/07/2023
3754,07/31/2023
3755,08/21/2020
3756,Dec 18th 2024
3757,04/04/2022
3758,28/08/2024
3759,30/07/2021
3760,05/02/2021
3761,09/14/2022
3762,Oct 14th 2021
3763,March 2 2023
3764,November 21 2021
3765,Sep 14th 2020
3766,Feb 27th 2023
3767,Jul 19th 2023
3768,08/21/2023
3769,June 28 2022
3770,Aug 16th 2021
3771,June 23 2020
3772,Jul 21st 2020
3773,February 28 2024
3774,08/03/2024
3775,04/21/2020
3776,Apr 30th 2024
3777,Jul 15th 2022
3778,12/01/2020
3779,01/31/2023
3780,18/03/2024
3781,February 12 2023
3782,11/03/2023
3783,01/14/2024
3784,19/06/2021
3785,03/08/2020
3786,16/03/2021
3787,05/11/2020
3788,Feb 19th 2021
3789,18/10/2021
3790,28/07/2024
3791,May 26th 2022
3792,Aug 24th 2021
3793,01/11/2020
3794,Apr 26th 2021
3795,14/05/2022
3796,Feb 2nd 2024
3797,07/01/2023
3798,22/08/2022
3799,04/08/2021
3800,Nov 8th 2024
3801,May 16 2020
3802,March 10 2023
3803,14/10/2021
3804,04/27/2023
3805,Oct 9th 2020
3806,01/17/2021
3807,Aug 9th 2021
3808,Feb 3rd 2024
3809,13/05/2022
3810,Aug 5th 2021
3811,Apr 26th 2020
3812,12/05/2021
3813,September 3 2020
3814,04/08/2024
3815,January 28 2020
3816,May 22nd 2024
3817,03/03/2020
3818,13/11/2021
3819,06/02/2020
3820,07/30/2022
3821,June 5 2020
3822,January 5 2020
3823,09/21/2023
3824,12/26/2021
3825,Nov 6th 2024
3826,04/10/2022
3827,04/04/2021
3828,03/02/2020
3829,20/08/2024
3830,16/01/2022
3831,07/07/2024
3832,November 12 2022
3833,09/03/2024
3834,02/09/2023
3835,18/12/2023
3836,09/26/2021
3837,13/01/2022
3838,02/09/2021
3839,August 14 2023
3840,Sep 20th 2020
3841,January 19 2024
3842,May 20 2022
3843,May 20th 2020
3844,11/14/2020
3845,Sep 16th 2021
3846,Dec 7th 2023
3847,May 4th 2023
3848,25/10/2022
3849,08/06/2020
3850,Jun 18th 2023
3851,Jul 12th 2023
3852,01/03/2021
3853,Oct 14th 2021
3854,24/12/2023
3855,05/20/2021
3856,06/29/2021
3857,May 7th 2022
3858,Nov 10th 2022
3859,28/02/2022
3860,Aug 14th 2022
3861,Oct 31st 2023
3862,August 23 2024
3863,June 14 2022
3864,Jan 24th 2024
3865,August 10 2021
3866,August 4 2021
3867,07/05/2024
3868,10/03/2022
3869,11/25/2023
3870,Jun 11th 2023
3871,02/26/2024
3872,01/24/2021
3873,08/08/2022
3874,01/25/2021
3875,06/01/2023
3876,February 19 2024
3877,15/09/2023
3878,November 4 2022
3879,01/10/2022
3880,Aug 18th 2021
3881,Feb 15th 2021
3882,07/08/2023
3883,October 6 2020
3884,27/03/2023
3885,04/29/2020
3886,September 4 2024
3887,01/05/2024
3888,Dec 8th 2022
3889,December 11 2024
3890,07/06/2021
3891,October 25 2024
3892,May 3 2022
3893,09/08/2023
3894,November 9 2020
3895,May 6th 2024
3896,June 18 2020
3897,19/04/2020
3898,08/11/2023
3899,22/10/2022
3900,13/08/2020
3901,06/04/2024
3902,03/12/2022
3903,Feb 5th 2021
3904,Dec 6th 2023
3905,March 13 2024
3906,12/03/2022
3907,09/12/2021
3908,17/07/2020
3909,09/13/2024
3910,01/11/2024
3911,27/02/2023
3912,07/19/2021
3913,Sep 23rd 2022
3914,December 1 2021
3915,26/03/2020
3916,09/04/2022
3917,03/20/2024
3918,10/08/2022
3919,26/12/2023
3920,06/06/2022
3921,12/29/2023
3922,20/04/2022
3923,07/04/2021
3924,03/10/2022
3925,Mar 16th 2022
3926,January 16 2023
3927,04/09/2020
3928,Apr 11th 2023
3929,January 7 2022
3930,October 2 2021
3931,November 2 2021
3932,Jan 1st 2021
3933,October 17 2022
3934,22/09/2021
3935,19/04/2023
3936,Oct 10th 2024
3937,July 13 2024
3938,08/12/2022
3939,October 14 2020
3940,14/10/2024
3941,November 21 2022
3942,Jul 30th 2022
3943,Dec 22nd 2020
3944,October 21 2022
3945,02/17/2024
3946,Apr 23rd 2023
3947,May 13 2020
3948,06/01/2023
3949,May 28th 2022
3950,03/05/2022
3951,Oct 29th 2021
3952,18/06/2021
3953,02/06/2023
3954,27/12/2022
3955,November 9 2021
3956,07/25/2023
3957,Nov 29th 2020
3958,Jun 17th 2023
3959,Jun 19th 2023
3960,Jun 4th 2022
3961,28/07/2022
3962,04/25/2021
3963,Jun 15th 2021
3964,August 27 2022
3965,May 21st 2021
3966,Oct 26th 2023
3967,08/01/2022
3968,November 27 2022
3969,09/11/2024
3970,16/12/2023
3971,15/06/2023
3972,January 14 2023
3973,Mar 24th 2023
3974,02/07/2021
3975,11/30/2024
3976,16/01/2023
3977,August 17 2023
3978,May 15th 2023
3979,05/08/2021
3980,03/25/2022
3981,04/08/2022
3982,07/09/2024
3983,Feb 12th 2020
3984,31/05/2021
3985,07/30/2023
3986,Oct 6th 2020
3987,November 20 2021
3988,Jun 4th 2020
3989,May 10th 2020
3990,Jul 13th 2020
3991,Aug 27th 2023
3992,November 1 2023
3993,01/28/2023
3994,Dec 15th 2022
3995,Jul 5th 2023
3996,11/13/2022
3997,29/03/2020
3998,May 26th 2022
3999,18/10/2023
4000,Mar 3rd 2021
4001,04/09/2023
4002,03/20/2024
4003,Jul 30th 2022
4004,06/11/2023
4005,19/05/2022
4006,01/18/2024
4007,05/05/2024
4008,Dec 31st 2022
4009,11/05/2021
4010,10/17/2023
4011,30/01/2024
4012,Jun 23rd 2024
4013,12/27/2024
4014,08/23/2024
4015,May 16th 2020
4016,18/06/2023
4017,Feb 7th 2020
4018,08/08/2021
4019,25/07/2023
4020,31/12/2020
4021,October 27 2023
4022,07/20/2020
4023,December 26 2022
4024,May 26th 2023
4025,06/04/2021
4026,Nov 2nd 2020
4027,April 29 2021
4028,01/03/2022
4029,11/09/2020
4030,November 15 2021
4031,August 5 2024
4032,11/14/2024
4033,05/05/2021
4034,07/24/2021
4035,13/09/2023
4036,June 24 2020
4037,09/22/2024
4038,10/02/2024
4039,March 11 2023
4040,Nov 8th 2020
4041,08/12/2021
4042,04/02/2020
4043,May 17th 2021
4044,30/11/2024
4045,Aug 19th 2021
4046,14/11/2020
4047,02/01/2024
4048,10/31/2020
4049,07/26/2022
4050,December 4 2021
4051,07/23/2021
4052,Mar 17th 2021
4053,August 1 2024
4054,08/18/2022
4055,June 27 2024
4056,16/09/2022
4057,Dec 1st 2023
4058,October 21 2023
4059,27/04/2021
4060,Nov 16th 2024
4061,12/11/2023
4062,September 18 2022
4063,April 25 2023
4064,December 17 2021
4065,27/03/2020
4066,11/27/2023
4067,04/15/2024
4068,August 26 2021
4069,March 9 2023
4070,05/21/2023
4071,07/17/2024
4072,01/10/2020
4073,October 30 2022
4074,10/17/2023
4075,09/10/2024
4076,01/30/2020
4077,16/01/2020
4078,Aug 24th 2022
4079,09/13/2021
4080,01/14/2022
4081,02/17/2021
4082,Jan 7th 2022
4083,05/26/2020
4084,05/11/2024
4085,October 14 2024
4086,27/01/2024
4087,16/06/2020
4088,05/04/2023
4089,05/06/2020
4090,March 16 2023
4091,Jun 11th 2023
4092,Oct 29th 2024
4093,04/04/2021
4094,May 24th 2020
4095,04/08/2021
4096,October 20 2020
4097,03/08/2022
4098,June 5 2020
4099,November 23 2022
4100,Feb 24th 2024
4101,05/20/2022
4102,January 5 2024
4103,Mar 4th 2024
4104,Nov 27th 2023
4105,Aug 13th 2020
4106,30/10/2021
4107,07/31/2020
4108,01/13/2020
4109,May 22nd 2021
4110,Dec 28th 2021
4111,04/08/2022
4112,December 25 2020
4113,08/28/2020
4114,Aug 27th 2024
4115,Aug 5th 2024
4116,Sep 12th 2020
4117,August 1 2021
4118,23/02/2021
4119,July 10 2022
4120,01/12/2020
4121,10/19/2024
4122,Feb 19th 2021
4123,Jan 18th 2022
4124,October 29 2020
4125,04/12/2022
4126,18/05/2021
4127,30/01/2021
4128,July 27 2021
4129,05/06/2023
4130,April 8 2022
4131,May 1 2024
4132,08/06/2022
4133,07/20/2020
4134,Feb 5th 2024
4135,14/05/2020
4136,Aug 15th 2021
4137,04/04/2024
4138,10/01/2024
4139,10/01/2022
4140,Jun 9th 2020
4141,Jun 5th 2021
4142,24/09/2024
4143,23/11/2023
4144,08/18/2020
4145,08/19/2023
4146,06/15/2020
4147,Nov 2nd 2023
4148,08/28/2021
4149,15/08/2023
4150,June 23 2022
4151,Dec 15th 2022
4152,14/04/2024
4153,Oct 10th 2023
4154,10/21/2024
4155,30/06/2021
4156,06/10/2020
4157,June 12 2022
4158,08/10/2020
4159,May 6th 2024
4160,04/16/2022
4161,January 25 2022
4162,05/11/2024
4163,Feb 12th 2023
4164,May 6th 2021
4165,January 29 2024
4166,02/02/2020
4167,07/01/2020
4168,January 10 2020
4169,February 25 2022
4170,Dec 7th 2022
4171,05/29/2024
4172,January 12 2022
4173,Oct 27th 2024
4174,February 8 2020
4175,September 7 2024
4176,18/12/2024
4177,07/10/2020
4178,April 26 2024
4179,May 26 2022
4180,November 21 2023
4181,30/01/2022
4182,April 19 2022
4183,08/26/2023
4184,Sep 4th 2023
4185,01/21/2021
4186,Mar 19th 2024
4187,31/08/2020
4188,07/08/2020
4189,04/04/2024
4190,03/22/2020
4191,February 16 2020
4192,Dec 7th 2024
4193,Sep 25th 2022
4194,December 29 2020
4195,July 16 2024
4196,Aug 12th 2024
4197,06/05/2021
4198,Jul 27th 2021
4199,Nov 14th 2020
4200,May 30th 2024
4201,October 28 2024
4202,September 14 2024
4203,Nov 10th 2023
4204,18/10/2020
4205,Mar 29th 2022
4206,05/21/2023
4207,Jul 22nd 2022
4208,Feb 20th 2024
4209,November 23 2021
4210,October 4 2020
4211,Sep 21st 2023
4212,02/25/2021
4213,January 7 2023
4214,Feb 16th 2023
4215,Oct 7th 2024
4216,January 2 2020
4217,Nov 22nd 2021
4218,08/01/2023
4219,January 3 2024
4220,August 27 2024
4221,Oct 23rd 2024
4222,October 17 2022
4223,07/18/2021
4224,27/02/2023
4225,December 8 2024
4226,Jan 9th 2020
4227,03/27/2022
4228,Jul 2nd 2020
4229,February 4 2020
4230,Apr 4th 2024
4231,07/16/2021
4232,08/29/2024
4233,01/08/2023
4234,02/04/2020
4235,March 5 2021
4236,Nov 26th 2022
4237,01/13/2023
4238,06/09/2020
4239,23/01/2024
4240,08/16/2024
4241,22/09/2020
4242,09/06/2021
4243,Sep 4th 2020
4244,01/05/2020
4245,November 18 2023
4246,22/11/2022
4247,16/11/2021
4248,April 27 2024
4249,03/30/2022
4250,October 12 2022
4251,11/02/2020
4252,17/12/2021
4253,June 29 2024
4254,09/03/2023
4255,03/23/2020
4256,18/12/2022
4257,December 13 2021
4258,Dec 16th 2023
4259,February 12 2021
4260,Nov 28th 2022
4261,December 1 2023
4262,Jan 13th 2020
4263,Dec 16th 2021
4264,Jun 12th 2023
4265,19/03/2024
4266,07/05/2022
4267,10/18/2022
4268,05/30/2020
4269,Oct 12th 2022
4270,01/01/2022
4271,July 8 2022
4272,01/08/2022
4273,01/10/2022
4274,Jul 16th 2023
4275,21/10/2024
4276,03/14/2024
4277,23/02/2023
4278,06/15/2021
4279,April 30 2022
4280,November 8 2022
4281,Oct 23rd 2021
4282,31/12/2022
4283,27/10/2022
4284,06/07/2022
4285,Mar 29th 2021
4286,March 6 2022
4287,06/24/2021
4288,Aug 27th 2021
4289,02/09/2020
4290,18/12/2020
4291,09/01/2024
4292,10/27/2021
4293,January 27 2021
4294,11/20/2022
4295,08/01/2021
4296,Jan 20th 2023
4297,Mar 2nd 2024
4298,Sep 30th 2024
4299,July 28 2023
4300,06/06/2020
4301,15/09/2024
4302,08/03/2020
4303,05/25/2023
4304,04/29/2023
4305,June 21 2021
4306,02/09/2021
4307,May 23rd 2020
4308,December 24 2021
4309,July 9 2022
4310,29/11/2020
4311,02/06/2022
4312,03/21/2022
4313,09/23/2021
4314,June 24 2020
4315,04/05/2024
4316,01/24/2020
4317,Jul 1st 2024
4318,08/01/2022
4319,Aug 24th 2020
4320,03/27/2020
4321,28/12/2023
4322,02/03/2024
4323,June 2 2021
4324,20/03/2020
4325,28/06/2020
4326,August 3 2023
4327,Feb 18th 2024
4328,Jan 3rd 2020
4329,24/12/2020
4330,03/10/2020
4331,19/12/2024
4332,02/16/2020
4333,10/19/2023
4334,22/10/2022
4335,April 7 2024
4336,15/10/2024
4337,07/06/2022
4338,01/01/2024
4339,January 24 2020
4340,10/03/2021
4341,10/12/2020
4342,Dec 7th 2023
4343,15/04/2023
4344,Nov 13th 2023
4345,May 4 2020
4346,July 1 2022
4347,10/31/2022
4348,Feb 25th 2024
4349,April 21 2023
4350,Nov 5th 2022
4351,August 9 2024
4352,August 6 2021
4353,March 8 2023
4354,Jul 14th 2021
4355,09/22/2023
4356,May 23rd 2020
4357,Jan 17th 2020
4358,Jul 6th 2021
4359,10/04/2024
4360,10/01/2021
4361,20/03/2023
4362,25/03/2020
4363,01/15/2020
4364,29/07/2022
4365,January 26 2020
4366,13/12/2021
4367,17/08/2024
4368,04/10/2020
4369,05/03/2022
4370,Jun 19th 2022
4371,September 20 2021
4372,13/04/2021
4373,25/08/2023
4374,Sep 25th 2023
4375,27/07/2024
4376,Sep 11th 2024
4377,March 12 2023
4378,23/06/2023
4379,01/14/2023
4380,Dec 15th 2022
4381,31/08/2021
4382,Oct 30th 2024
4383,Aug 12th 2023
4384,21/08/2023
4385,01/21/2023
4386,07/17/2024
4387,Aug 25th 2021
4388,Mar 21st 2020
4389,October 7 2020
4390,Nov 2nd 2024
4391,30/12/2021
4392,02/09/2020
4393,09/09/2023
4394,02/07/2023
4395,December 14 2022
4396,25/06/2022
4397,11/10/2021
4398,17/04/2020
4399,Apr 22nd 2020
4400,June 17 2020
4401,December 30 2024
4402,May 17th 2023
4403,12/30/2023
4404,11/26/2020
4405,02/23/2021
4406,Dec 15th 2022
4407,Apr 9th 2020
4408,November 1 2022
4409,February 6 2023
4410,06/03/2023
4411,14/09/2024
4412,30/10/2022
4413,October 28 2024
4414,December 3 2023
4415,05/09/2020
4416,01/08/2021
4417,09/14/2024
4418,Aug 15th 2024
4419,Aug 18th 2022
4420,09/05/2023
4421,December 15 2024
4422,March 25 2023
4423,September 11 2023
4424,Aug 22nd 2024
4425,08/31/2020
4426,12/06/2023
4427,January 14 2022
4428,05/04/2023
4429,07/25/2023
4430,Oct 22nd 2020
4431,Sep 21st 2023
4432,06/07/2020
4433,June 7 2021
4434,Oct 13th 2022
4435,August 19 2024
4436,Feb 15th 2020
4437,07/22/2021
4438,29/11/2021
4439,June 16 2021
4440,09/07/2021
4441,06/01/2020
4442,June 11 2020
4443,Aug 24th 2020
4444,Aug 16th 2024
4445,01/10/2021
4446,Aug 19th 2020
4447,08/29/2024
4448,September 27 2020
4449,07/01/2024
4450,04/06/2022
4451,06/07/2020
4452,19/08/2022
4453,03/04/2022
4454,20/02/2024
4455,03/09/2020
4456,01/07/2021
4457,May 10th 2022
4458,May 6th 2023
4459,October 7 2021
4460,06/12/2022
4461,January 2 2024
4462,12/01/2023
4463,15/02/2024
4464,04/13/2022
4465,11/27/2023
4466,07/16/2022
4467,09/13/2021
4468,03/20/2022
4469,Dec 10th 2022
4470,April 18 2024
4471,September 6 2022
4472,May 18th 2020
4473,Jun 26th 2021
4474,Sep 4th 2021
4475,September 5 2024
4476,January 8 2022
4477,November 5 2022
4478,23/07/2023
4479,Jun 8th 2021
4480,02/13/2021
4481,Nov 6th 2020
4482,05/11/2024
4483,22/08/2023
4484,June 30 2023
4485,November 6 2022
4486,06/08/2021
4487,17/05/2023
4488,September 8 2022
4489,22/06/2022
4490,Aug 1st 2021
4491,11/21/2020
4492,Nov 19th 2023
4493,August 23 2020
4494,09/13/2021
4495,Apr 26th 2021
4496,June 7 2020
4497,May 2nd 2024
4498,08/16/2023
4499,12/23/2020
4500,Nov 18th 2021
4501,12/08/2023
4502,01/12/2022
4503,Jul 16th 2021
4504,03/03/2023
4505,September 3 2022
4506,April 14 2023
4507,November 24 2023
4508,Mar 25th 2020
4509,July 28 2024
4510,02/07/2022
4511,02/07/2024
4512,06/12/2024
4513,April 5 2021
4514,Feb 15th 2022
4515,30/04/2021
4516,October 19 2024
4517,09/09/2022
4518,May 15th 2023
4519,October 19 2021
4520,08/14/2022
4521,14/08/2024
4522,12/26/2023
4523,01/27/2022
4524,11/05/2023
4525,12/01/2020
4526,May 3rd 2022
4527,Feb 23rd 2021
4528,12/18/2022
4529,October 4 2021
4530,May 13th 2021
4531,Aug 12th 2021
4532,October 21 2022
4533,12/21/2024
4534,Oct 21st 2023
4535,07/13/2023
4536,August 29 2024
4537,January 4 2024
4538,September 27 2020
4539,July 14 2023
4540,05/02/2022
4541,Apr 17th 2023
4542,13/12/2021
4543,12/05/2022
4544,Apr 10th 2021
4545,04/05/2023
4546,Nov 15th 2023
4547,08/07/2024
4548,20/03/2023
4549,May 10 2021
4550,June 25 2020
4551,February 3 2023
4552,25/01/2022
4553,07/23/2024
4554,15/12/2021
4555,03/20/2024
4556,08/01/2024
4557,Nov 27th 2020
4558,Apr 19th 2023
4559,27/05/2020
4560,June 9 2021
4561,January 3 2022
4562,29/01/2024
4563,31/05/2023
4564,Aug 12th 2024
4565,03/04/2024
4566,April 5 2020
4567,04/13/2021
4568,August 16 2022
4569,April 5 2021
4570,December 31 2021
4571,24/08/2022
4572,Jan 22nd 2023
4573,12/25/2021
4574,10/24/2022
4575,February 6 2021
4576,10/05/2020
4577,August 25 2020
4578,30/11/2024
4579,17/11/2022
4580,December 20 2023
4581,03/22/2022
4582,14/08/2020
4583,08/07/2021
4584,07/13/2021
4585,Apr 19th 2024
4586,Aug 4th 2021
4587,March 4 2022
4588,Aug 8th 2023
4589,Jul 24th 2024
4590,04/25/2020
4591,May 24th 2021
4592,12/01/2021
4593,12/15/2022
4594,14/10/2024
4595,July 22 2020
4596,Apr 18th 2020
4597,Oct 26th 2021
4598,Mar 30th 2023
4599,08/07/2024
4600,Nov 27th 2023
4601,03/29/2020
4602,November 29 2021
4603,07/05/2024
4604,22/08/2022
4605,December 12 2021
4606,10/10/2023
4607,July 28 2023
4608,October 2 2022
4609,Dec 20th 2020
4610,Nov 16th 2021
4611,Aug 27th 2023
4612,Sep 18th 2020
4613,December 31 2022
4614,April 25 2020
4615,04/02/2023
4616,July 5 2020
4617,April 29 2023
4618,18/04/2024
4619,30/11/2020
4620,Dec 20th 2023
4621,02/01/2020
4622,20/10/2020
4623,November 29 2022
4624,May 14 2020
4625,April 1 2023
4626,August 13 2021
4627,Mar 27th 2024
4628,Sep 8th 2022
4629,28/08/2022
4630,27/03/2023
4631,02/08/2024
4632,09/12/2022
4633,February 17 2022
4634,10/08/2020
4635,Aug 2nd 2020
4636,Jun 8th 2023
4637,01/25/2024
4638,June 17 2020
4639,July 14 2023
4640,April 21 2024
4641,25/07/2021
4642,06/05/2023
4643,Jan 14th 2022
4644,07/18/2023
4645,May 5th 2021
4646,20/05/2023
4647,Jun 12th 2022
4648,Jan 13th 2021
4649,20/04/2021
4650,18/03/2021
4651,05/11/2020
4652,February 15 2022
4653,02/27/2020
4654,April 5 2023
4655,July 12 2023
4656,Jun 1st 2022
4657,Nov 3rd 2022
4658,March 25 2024
4659,11/07/2020
4660,03/11/2021
4661,April 8 2024
4662,08/04/2021
4663,May 19 2022
4664,15/07/2020
4665,Jun 6th 2024
4666,February 12 2022
4667,08/01/2020
4668,November 25 2022
4669,04/08/2023
4670,04/17/2022
4671,July 6 2024
4672,01/19/2020
4673,21/04/2024
4674,June 17 2021
4675,26/08/2023
4676,October 20 2024
4677,June 28 2020
4678,April 19 2023
4679,08/11/2023
4680,03/09/2022
4681,08/01/2023
4682,November 26 2023
4683,03/19/2021
4684,17/04/2020
4685,November 12 2022
4686,07/02/2024
4687,October 7 2020
4688,March 3 2020
4689,17/06/2020
4690,20/01/2024
4691,08/22/2020
4692,Apr 16th 2022
4693,07/08/2020
4694,08/03/2020
4695,January 10 2022
4696,December 15 2021
4697,Sep 30th 2023
4698,09/07/2020
4699,09/28/2023
4700,03/05/2022
4701,01/02/2022
4702,10/26/2022
4703,05/25/2024
4704,Jun 22nd 2020
4705,24/06/2020
4706,Dec 24th 2024
4707,Aug 27th 2023
4708,02/12/2021
4709,04/23/2021
4710,16/03/2023
4711,Feb 24th 2021
4712,May 10 2021
4713,10/10/2021
4714,11/26/2024
4715,24/09/2020
4716,July 13 2021
4717,03/07/2022
4718,August 28 2023
4719,02/05/2022
4720,24/02/2023
4721,September 10 2020
4722,04/11/2020
4723,November 26 2024
4724,January 27 2022
4725,21/07/2023
4726,28/09/2021
4727,28/12/2024
4728,14/07/2023
4729,Dec 21st 2021
4730,09/12/2021
4731,Mar 24th 2022
4732,24/05/2022
4733,12/09/2020
4734,12/03/2024
4735,06/02/2021
4736,Apr 2nd 2023
4737,09/19/2022
4738,22/09/2021
4739,Dec 13th 2024
4740,Aug 26th 2023
4741,09/22/2021
4742,16/07/2021
4743,May 13 2023
4744,Sep 3rd 2021
4745,13/02/2021
4746,05/09/2023
4747,May 23 2022
4748,Sep 4th 2021
4749,March 12 2020
4750,11/14/2023
4751,07/02/2021
4752,Jul 2nd 2022
4753,04/18/2021
4754,Aug 26th 2022
4755,23/10/2021
4756,Dec 9th 2023
4757,Feb 9th 2020
4758,Nov 15th 2022
4759,Dec 11th 2021
4760,July 20 2024
4761,21/12/2021
4762,05/08/2020
4763,06/06/2020
4764,Nov 28th 2023
4765,August 11 2024
4766,June 20 2021
4767,24/12/2021
4768,Mar 2nd 2022
4769,10/13/2023
4770,06/29/2020
4771,05/05/2023
4772,03/11/2022
4773,06/03/2022
4774,08/27/2024
4775,16/10/2024
4776,Dec 21st 2023
4777,January 21 2022
4778,March 18 2021
4779,January 18 2024
4780,04/30/2021
4781,11/06/2024
4782,11/01/2020
4783,April 27 2024
4784,28/12/2024
4785,11/05/2024
4786,November 25 2022
4787,04/07/2024
4788,November 11 2020
4789,Mar 3rd 2021
4790,August 19 2023
4791,06/06/2022
4792,May 28th 2023
4793,12/07/2022
4794,Feb 6th 2022
4795,09/10/2020
4796,August 28 2020
4797,May 13 2022
4798,July 15 2020
4799,08/01/2022
4800,December 10 2021
4801,07/16/2023
4802,August 4 2021
4803,Dec 4th 2022
4804,August 26 2021
4805,March 12 2022
4806,August 28 2020
4807,Oct 2nd 2020
4808,19/03/2024
